,ARIMA-GARCH GMIR,ARIMA-GARCH GMV,XGBoost GMIR,XGBoost GMV
ITC.NS,0.06693113251604221,,0.06981967835227536,
BHARTIARTL.NS,0.052776918371225584,0.031231432610774924,0.04645790313335245,
LT.NS,0.04786795168335931,,0.049794780671340085,
HDFCBANK.NS,0.04432867969606993,0.03602654245866523,0.04120270480784905,0.03625661173223773
SUNPHARMA.NS,0.04019303391959904,,,
ICICIBANK.NS,,0.03499374360053885,,0.0323068618002673
NESTLEIND.NS,,0.03471794122319699,,0.031860616246667646
MARUTI.NS,,0.03179494889215135,,0.031167523723718796
NTPC.NS,,,0.041589198149545814,
HINDUNILVR.NS,,,,0.033710071929952394
